Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
3200
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(32388 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.009216 ms
Loaded camera view 'plamure_camera_Modell_Ruine_1'.
Frame: 3: g_rs.camera: 0x5b7bcc3aed50
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x5b7bcc3aed50
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x5b7bcc3aed50
GL 236.388 ms
Frame: 6: g_rs.camera: 0x5b7bcc3aed50
GL 0.541696 ms
Frame: 7: g_rs.camera: 0x5b7bcc3aed50
GL 99.8502 ms
Frame: 8: g_rs.camera: 0x5b7bcc3aed50
GL 0.627712 ms
Frame: 9: g_rs.camera: 0x5b7bcc3aed50
GL 0.755712 ms
GL 0.90112 ms
GL 1.14995 ms
GL 1.41005 ms
GL 1.40083 ms
GL 1.39981 ms
GL 1.65581 ms
GL 1.64864 ms
GL 1.96096 ms
GL 1.9497 ms
GL 1.95277 ms
GL 1.94765 ms
GL 1.95277 ms
GL 1.95891 ms
GL 2.1463 ms
GL 2.14528 ms
GL 2.14323 ms
GL 2.16576 ms
GL 2.14221 ms
GL 2.13811 ms
GL 2.14426 ms
GL 2.13914 ms
GL 2.16576 ms
GL 2.14118 ms
GL 2.14323 ms
GL 2.39002 ms
GL 2.38387 ms
GL 2.4023 ms
GL 2.38694 ms
GL 2.3849 ms
GL 2.38182 ms
GL 2.40845 ms
GL 2.38592 ms
GL 2.38797 ms
GL 2.38285 ms
GL 2.3849 ms
GL 2.40435 ms
GL 2.38387 ms
GL 2.38285 ms
GL 2.3849 ms
GL 2.38592 ms
GL 2.82419 ms
GL 3.23277 ms
GL 4.38272 ms
GL 3.13856 ms
GL 3.13958 ms
GL 3.23379 ms
GL 4.38272 ms
GL 3.13754 ms
GL 3.13754 ms
GL 3.14061 ms
GL 3.14266 ms
GL 4.38579 ms
GL 3.14163 ms
GL 3.14266 ms
GL 3.23277 ms
GL 4.37965 ms
GL 3.13958 ms
GL 3.14266 ms
GL 3.25222 ms
GL 4.37453 ms
GL 3.13856 ms
GL 3.14061 ms
GL 3.14368 ms
GL 3.58298 ms
GL 3.8912 ms
GL 3.98438 ms
GL 4.16461 ms
GL 3.57069 ms
GL 3.88915 ms
GL 3.90144 ms
GL 4.16973 ms
GL 3.89018 ms
GL 3.98336 ms
GL 4.16973 ms
GL 3.88608 ms
GL 3.88915 ms
GL 3.89837 ms
GL 4.17075 ms
GL 3.89427 ms
GL 4.00998 ms
GL 4.26189 ms
GL 4.28237 ms
GL 3.57274 ms
GL 3.89632 ms
GL 4.61824 ms
GL 3.89734 ms
GL 3.83386 ms
GL 4.79027 ms
GL 3.89837 ms
GL 3.8953 ms
GL 3.90246 ms
GL 4.17178 ms
GL 3.57069 ms
GL 3.83488 ms
GL 4.79539 ms
GL 3.89837 ms
GL 3.89734 ms
GL 4.00384 ms
GL 4.16563 ms
GL 3.89734 ms
GL 3.89632 ms
GL 5.29715 ms
GL 6.88947 ms
GL 5.28486 ms
GL 5.64224 ms
GL 6.33958 ms
GL 5.28896 ms
GL 6.8823 ms
GL 5.28589 ms
GL 5.63712 ms
GL 5.90029 ms
GL 5.26746 ms
GL 6.86285 ms
GL 5.27258 ms
GL 5.5296 ms
GL 5.90438 ms
GL 5.27258 ms
GL 6.87718 ms
GL 5.27258 ms
GL 5.53574 ms
GL 5.88595 ms
GL 5.27053 ms
GL 6.68774 ms
GL 5.61254 ms
GL 5.53472 ms
GL 5.90029 ms
GL 5.2777 ms
GL 6.68979 ms
GL 5.6105 ms
GL 5.53984 ms
GL 6.18189 ms
GL 5.61971 ms
GL 6.88333 ms
GL 9.09722 ms
GL 9.97274 ms
GL 11.264 ms
GL 9.6809 ms
GL 10.196 ms
GL 11.2476 ms
GL 10.9138 ms
GL 9.33478 ms
GL 10.9087 ms
GL 10.922 ms
GL 9.33376 ms
GL 9.96966 ms
GL 11.0049 ms
GL 9.58464 ms
GL 10.198 ms
GL 11.1473 ms
GL 9.59283 ms
GL 9.89901 ms
GL 11.1688 ms
GL 10.8083 ms
GL 9.32966 ms
GL 10.9271 ms
GL 11.1647 ms
GL 9.58771 ms
GL 10.2963 ms
GL 11.1944 ms
GL 9.59795 ms
GL 9.81606 ms
GL 11.1667 ms
GL 10.9189 ms
GL 9.31635 ms
GL 11.1718 ms
GL 10.9169 ms
GL 9.32557 ms
GL 9.99629 ms
GL 10.8063 ms
GL 9.57645 ms
GL 9.91437 ms
GL 11.2435 ms
GL 9.67168 ms
GL 10.1898 ms
GL 11.1473 ms
GL 9.67066 ms
GL 9.92358 ms
GL 10.9158 ms
GL 10.9117 ms
GL 9.32659 ms
GL 9.99526 ms
GL 10.9937 ms
GL 9.58464 ms
GL 9.91846 ms
GL 11.2364 ms
GL 9.67782 ms
GL 10.1898 ms
GL 11.2261 ms
GL 9.6727 ms
GL 9.91539 ms
GL 10.8974 ms
GL 10.9056 ms
GL 9.32557 ms
GL 10.2932 ms
GL 11.18 ms
GL 9.58362 ms
GL 9.32762 ms
GL 11.2548 ms
GL 9.67373 ms
GL 9.62662 ms
GL 11.1708 ms
GL 10.7069 ms
GL 9.32147 ms
GL 10.922 ms
GL 11.1954 ms
GL 9.58669 ms
GL 10.4847 ms
GL 11.2753 ms
GL 9.66758 ms
GL 10.1345 ms
GL 11.1606 ms
GL 9.67782 ms
GL 9.91744 ms
GL 10.9117 ms
GL 10.9169 ms
GL 9.32966 ms
GL 9.98605 ms
GL 11.1892 ms
GL 9.58157 ms
GL 10.4765 ms
GL 11.1872 ms
GL 9.66349 ms
GL 10.1888 ms
GL 11.1483 ms
GL 10.8083 ms
GL 9.32864 ms
GL 10.8923 ms
GL 10.9138 ms
GL 9.32352 ms
GL 9.97274 ms
GL 11.006 ms
GL 9.58464 ms
GL 9.92256 ms
GL 11.2353 ms
GL 9.59693 ms
GL 9.90822 ms
GL 11.264 ms
GL 9.67066 ms
GL 9.91437 ms
GL 11.0674 ms
GL 10.9312 ms
GL 9.32762 ms
GL 10.9066 ms
GL 10.6404 ms
GL 9.58874 ms
GL 10.1868 ms
GL 11.1483 ms
GL 9.58054 ms
GL 9.93382 ms
GL 11.1503 ms
GL 10.8227 ms
GL 9.37984 ms
GL 11.2148 ms
GL 10.838 ms
GL 9.33478 ms
GL 10.1519 ms
GL 11.1985 ms
GL 9.60512 ms
GL 9.93485 ms
GL 11.1903 ms
GL 9.60922 ms
GL 9.94406 ms
GL 11.2722 ms
GL 9.68294 ms
GL 10.283 ms
GL 10.9087 ms
GL 10.9281 ms
GL 9.34093 ms
GL 9.98502 ms
GL 11.0305 ms
GL 9.61229 ms
GL 9.65734 ms
GL 11.1882 ms
GL 9.6983 ms
GL 9.94611 ms
GL 11.178 ms
GL 10.8237 ms
GL 9.34605 ms
GL 10.0076 ms
GL 11.0172 ms
GL 9.34605 ms
GL 10.3414 ms
GL 10.6404 ms
GL 9.60307 ms
GL 10.3178 ms
GL 11.2671 ms
GL 9.69421 ms
GL 10.0352 ms
GL 11.2783 ms
GL 9.70957 ms
GL 9.92666 ms
GL 10.9302 ms
GL 10.9169 ms
GL 9.34298 ms
GL 10.0188 ms
GL 11.0367 ms
GL 9.60102 ms
GL 10.2595 ms
GL 11.2609 ms
GL 9.69523 ms
GL 9.93894 ms
GL 11.1944 ms
GL 10.838 ms
GL 9.34605 ms
GL 10.0168 ms
GL 11.1913 ms
GL 9.52422 ms
GL 10.2461 ms
GL 11.1841 ms
GL 9.61638 ms
GL 9.94304 ms
GL 11.2046 ms
GL 10.8268 ms
GL 9.34093 ms
GL 11.1954 ms
GL 10.836 ms
GL 9.34707 ms
GL 9.64506 ms
GL 11.0305 ms
GL 9.60102 ms
GL 10.2513 ms
GL 11.2824 ms
GL 9.69523 ms
GL 10.3383 ms
GL 11.1913 ms
GL 10.8186 ms
GL 9.34605 ms
GL 10.0198 ms
GL 11.1882 ms
GL 9.52013 ms
GL 10.2339 ms
GL 11.1739 ms
GL 9.59693 ms
GL 9.93382 ms
GL 11.2046 ms
GL 10.8308 ms
GL 9.35629 ms
GL 11.0961 ms
GL 10.5748 ms
GL 9.6512 ms
GL 9.70342 ms
GL 11.1964 ms
GL 9.61536 ms
GL 10.2175 ms
GL 11.1749 ms
GL 9.60717 ms
GL 9.93587 ms
GL 11.2824 ms
GL 10.8298 ms
GL 9.34707 ms
GL 10.9507 ms
GL 11.1944 ms
GL 9.59898 ms
GL 10.3158 ms
GL 11.2026 ms
GL 9.60102 ms
GL 10.3905 ms
GL 11.1892 ms
GL 10.839 ms
GL 9.33581 ms
GL 11.1043 ms
GL 10.922 ms
GL 9.344 ms
GL 10.0014 ms
GL 11.0193 ms
GL 9.61126 ms
GL 9.9328 ms
GL 11.1903 ms
GL 9.59488 ms
GL 9.93485 ms
GL 11.2947 ms
GL 9.69626 ms
GL 9.94509 ms
GL 10.9353 ms
GL 10.9373 ms
GL 9.3399 ms
GL 10.0178 ms
GL 11.1821 ms
GL 9.5191 ms
GL 10.2451 ms
GL 11.1708 ms
GL 10.8329 ms
GL 9.34707 ms
GL 11.1043 ms
GL 11.2998 ms
GL 10.8227 ms
GL 9.35014 ms
GL 11.1155 ms
GL 10.8349 ms
GL 9.35322 ms
GL 10.9435 ms
GL 10.3014 ms
GL 9.91949 ms
GL 9.65632 ms
GL 11.2701 ms
GL 9.60819 ms
GL 10.3905 ms
GL 11.1892 ms
GL 9.69011 ms
GL 10.2175 ms
GL 10.9302 ms
GL 10.6445 ms
GL 9.35424 ms
GL 10.9394 ms
GL 10.6465 ms
GL 9.60307 ms
GL 10.3219 ms
GL 11.2916 ms
GL 9.60614 ms
GL 10.4049 ms
GL 11.2753 ms
GL 9.68294 ms
